ano,trimestre,CodigoDepartamento,departamento,CodigoMunicipio,municipio,impuestomes1,impuestomes2,impuestomes3,totalimpuesto
2015,2,70,SUCRE,70997,GALERAS,426321,438867,357542,1222730
2015,2,70,SUCRE,70473,MORROA,2693604,3335603,2090560,8119767
2015,2,70,SUCRE,70523,PALMITO,17641189,21685442,13739697,53066328
2015,2,70,SUCRE,70702,SAN JUAN BETULIA,14167505,17752958,10933190,42853653
2015,2,70,SUCRE,70717,SAN PEDRO,12011210,17250131,8610747,37872088
2015,2,70,SUCRE,70001,SICELEJO,27143136,33359942,21141941,81645019
2015,2,70,SUCRE,70742,SINCE,25222115,27642585,20650505,73515205
2015,2,73,TOLIMA,73026,ALVARADO,39740906,42856669,46070484,128668059
2015,2,73,TOLIMA,73148,CARMEN DE APICALA,8248813,8733486,8256523,25238822
2015,2,73,TOLIMA,73200,COELLO,15714972,14806979,15627183,46149134
2015,2,73,TOLIMA,73217,COYAIMA,23264992,25837499,30603188,79705679
2015,2,73,TOLIMA,73268,ESPINAL,24914059,25399860,24894512,75208431
2015,2,73,TOLIMA,73270,FALAN,802846,865791,930718,2599355
2015,2,73,TOLIMA,73275,FLANDES,8000297,8470368,8007775,24478440
2015,2,73,TOLIMA,73319,GUAMO,47392337,45109604,49934905,142436846
2015,2,73,TOLIMA,73055,GUAYABAL,42550868,45886938,49327993,137765799
2015,2,73,TOLIMA,73349,HONDA,20071164,21644782,23267921,64983867
2015,2,73,TOLIMA,73001,IBAGUE,32515286,35064547,37694033,105273866
2015,2,73,TOLIMA,73408,LERIDA,41346598,44588250,47931917,133866765
2015,2,73,TOLIMA,73443,MARIQUIRTA,40142330,43289564,46535842,129967736
2015,2,73,TOLIMA,73483,NATAGAIMA,40382239,44847473,53119523,138349235
2015,2,73,TOLIMA,73504,ORTEGA,12312278,2881436,0,15193714
2015,2,73,TOLIMA,73547,PIEDRAS,25088955,27055978,29084902,81229835
2015,2,73,TOLIMA,73678,SAN LUIS,12615044,4247111,1900636,18762791
2015,2,73,TOLIMA,73770,SUAREZ,2494716,2641298,2497048,7633062
2015,2,73,TOLIMA,73861,VENADILLO,30708881,33116517,35599918,99425316
2015,3,5,ANTIOQUIA,05154,CAUCASIA,405595985,432611195,420188886,1258396066
2015,3,5,ANTIOQUIA,05579,PUERTO BERRIO,361820991,385920579,374838548,1122580118
2015,3,5,ANTIOQUIA,05585,PUERTO NARE,61565646,65678274,65110485,192354405
2015,3,5,ANTIOQUIA,05591,PUERTO TRIUNFO,72183553,66868134,62148501,201200188
2015,3,5,ANTIOQUIA,05604,REMEDIOS,427117480,455565583,442487941,1325171004
2015,3,5,ANTIOQUIA,05736,SEGOVIA,153518204,163743181,159043248,476304633
2015,3,5,ANTIOQUIA,05765,SONSON,35934170,33288067,30938555,100160792
2015,3,5,ANTIOQUIA,05895,ZARAGOZA,350203183,373528790,362803666,1086535639
2015,3,81,ARAUCA,81065,ARAUQUITA,2973581,89073202,0,92046783
2015,3,81,ARAUCA,81300,FORTUL,0,1559176,16515337.8580576,18074513.8580576
2015,3,81,ARAUCA,81736,SARAVENA,748183,22018179,226433507.46210399,249199869.46210399
2015,3,81,ARAUCA,81794,TAME,0,4515846,47833406.679838501,52349252.679838501
2015,3,13,BOLIVAR,13052,ARJONA,0,129097,4945140,5074237
2015,3,13,BOLIVAR,13001,CARTAGENA,0,47399,1815632,1863031
2015,3,13,BOLIVAR,13188,CICUCO,12665738,13477684,9482431,35625853
2015,3,13,BOLIVAR,13212,CORDOBA,7695971,9142898,10138423,26977292
2015,3,13,BOLIVAR,13430,MAGANGUE,25311291,28039300,24023363,77373954
2015,3,13,BOLIVAR,13442,MARIA LA BAJA,0,162327,6218049,6380376
2015,3,13,BOLIVAR,13468,MOMPOS,14094943,14998509,10552431,39645883
2015,3,13,BOLIVAR,13780,TALAIGUA NUEVO,6039144,6426287,4521313,16986744
2015,3,13,BOLIVAR,13838,TURBANA,0,96833,3709265,3806098
2015,3,15,BOYACA,15104,BOYACA,49322395.429736897,50573806.043250903,48623279.813406602,148519481.286394
2015,3,15,BOYACA,15131,CALDAS,86271.247308463193,106189.16381680399,120362.718582594,312823.12970786099
2015,3,15,BOYACA,15135,CAMPOHERMOSO,180857948.22906199,185448569.75724199,178298147.52134001,544604665.50764406
2015,3,15,BOYACA,15223,CUBARA,3849469.2367285802,10048033.7506538,18571364.980900299,32468867.9682827
2015,3,15,BOYACA,15367,JENESANO,221946033.015214,227576284.79061899,218798138.71080801,668320456.51664102
